ID,prob_admiration,prob_amusement,prob_approval,prob_caring,prob_curiosity,prob_excitement,prob_desire,prob_gratitude,prob_joy,prob_love,prob_pride,prob_optimism,prob_relief,prob_anger,prob_annoyance,prob_disappointment,prob_disapproval,prob_disgust,prob_embarrassment,prob_fear,prob_grief,prob_nervousness,prob_remorse,prob_sadness,prob_confusion,prob_realization,prob_surprise,prob_neutral,positive_emotion,negative_emotion,ambiguous_emotion
292126,0.18,0.02,0.08,0.0,0.01,0.02,0.02,0.01,0.06,0.04,0.0,0.02,0.0,0.0,0.04,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.02,0.01,0.32,0.46,0.15,0.38
74936,0.09,0.05,0.12,0.0,0.04,0.0,0.0,0.0,0.05,0.0,0.0,0.01,0.0,0.01,0.06,0.03,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.0,0.43,0.36,0.15,0.49
231574,0.23,0.0,0.11,0.0,0.02,0.01,0.01,0.03,0.05,0.02,0.0,0.03,0.0,0.0,0.01,0.01,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.39,0.51,0.06,0.41
11764,0.19,0.0,0.11,0.0,0.0,0.0,0.04,0.0,0.0,0.04,0.0,0.02,0.0,0.0,0.02,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.0,0.41,0.4,0.08,0.47
3633,0.14,0.02,0.09,0.0,0.01,0.01,0.02,0.0,0.06,0.04,0.0,0.02,0.0,0.01,0.06,0.09,0.07,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.02,0.02,0.01,0.25,0.41,0.26,0.3
5985,0.09,0.01,0.07,0.01,0.02,0.01,0.01,0.01,0.02,0.04,0.0,0.01,0.0,0.01,0.02,0.03,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.01,0.51,0.3,0.11,0.59
374573,0.3,0.01,0.09,0.0,0.01,0.04,0.01,0.0,0.1,0.03,0.0,0.02,0.0,0.0,0.02,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.29,0.61,0.07,0.31
359502,0.16,0.03,0.08,0.0,0.01,0.01,0.02,0.0,0.09,0.03,0.0,0.02,0.0,0.01,0.05,0.09,0.08,0.01,0.0,0.01,0.0,0.0,0.01,0.01,0.02,0.01,0.0,0.24,0.45,0.27,0.27
245609,0.14,0.0,0.08,0.01,0.04,0.0,0.01,0.0,0.03,0.02,0.0,0.07,0.0,0.0,0.03,0.05,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.08,0.02,0.0,0.29,0.4,0.17,0.39
31542,0.19,0.01,0.13,0.0,0.01,0.02,0.01,0.01,0.03,0.02,0.0,0.05,0.0,0.0,0.03,0.07,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.0,0.27,0.48,0.18,0.32
